"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,32824.00,128.00,66.00,100.00,14.00,121.00,52.00,31.00,"US Airways Inc.","US","ABE","BWI",6,"619",1,1991,1,3,1,"F",
0.00,1.00,14700.00,63.00,12.00,0.00,0.00,253.00,55.00,49.00,"US Airways Inc.","US","ABE","PIT",6,"601",1,1991,1,3,1,"F",
0.00,1.00,38630.00,146.00,145.00,0.00,10.00,487.00,95.00,80.00,"Northwest Airlines Inc.","NW","ABQ","LAS",7,"715",1,1991,1,3,1,"F",
0.00,1.00,31800.00,128.00,112.00,0.00,97.00,677.00,118.00,106.00,"United Air Lines Inc.","UA","ABQ","LAX",6,"619",1,1991,1,3,2,"F",
0.00,1.00,32800.00,146.00,106.00,5.00,0.00,631.00,112.00,91.00,"Trans World Airways LLC","TW","ABQ","ONT",7,"715",1,1991,1,3,2,"F",
0.00,3.00,95400.00,384.00,302.00,0.00,216.00,328.00,231.00,177.00,"United Air Lines Inc.","UA","ABQ","PHX",6,"619",1,1991,1,3,1,"F",
0.00,1.00,37638.00,146.00,98.00,0.00,135.00,328.00,78.00,61.00,"US Airways Inc.","US","ABQ","PHX",6,"617",1,1991,1,3,1,"F",
0.00,1.00,36300.00,148.00,144.00,87.00,2131.00,328.00,74.00,58.00,"Delta Air Lines Inc.","DL","ABQ","PHX",7,"715",1,1991,1,3,1,"F",
0.00,1.00,37638.00,146.00,91.00,285.00,38.00,1486.00,181.00,164.00,"US Airways Inc.","US","ABQ","PIT",6,"617",1,1991,1,3,3,"F",
0.00,1.00,76855.00,275.00,53.00,10248.00,0.00,896.00,132.00,114.00,"Trans World Airways LLC","TW","ABQ","SFO",7,"760",1,1991,1,3,2,"F",
0.00,1.00,14700.00,63.00,28.00,0.00,0.00,309.00,64.00,56.00,"US Airways Inc.","US","ACY","PIT",6,"601",1,1991,1,3,1,"F",
0.00,1.00,26155.00,107.00,102.00,0.00,0.00,143.00,66.00,47.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"620",1,1991,1,3,1,"F",
0.00,1.00,36300.00,148.00,133.00,641.00,0.00,143.00,60.00,45.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1991,1,3,1,"F",
0.00,1.00,48135.00,187.00,125.00,0.00,1619.00,143.00,63.00,37.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"622",1,1991,1,3,1,"F",
0.00,1.00,21003.00,67.00,32.00,13.00,0.00,289.00,60.00,54.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",5,"550",3,1991,1,3,1,"F",
0.00,1.00,23150.00,67.00,30.00,1024.00,1530.00,332.00,78.00,72.00,"Reeve Aleutian Airways Inc.","RV","AKN","CDB",5,"550",3,1991,1,3,1,"F",
0.00,1.00,9800.00,40.00,12.00,0.00,0.00,71.00,36.00,28.00,"Markair Inc.","BF","AKN","DLG",4,"484",1,1991,1,3,1,"F",
0.00,1.00,9800.00,18.00,16.00,682.00,4215.00,140.00,56.00,48.00,"Markair Inc.","BF","AKN","PTH",5,"570",1,1991,1,3,1,"F",
0.00,1.00,27780.00,110.00,61.00,0.00,69.00,367.00,80.00,59.00,"US Airways Inc.","US","ALB","PIT",6,"620",1,1991,1,3,1,"F",
